,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play
130,109.8,46.8,2023-04-22 00:04:30.882,0.043851856,Wayward,Laia Aleixandri López,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
131,114.0,40.9,2023-04-22 00:05:24.355,0.27321404,Saved,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Volley,True,Open Play,High Pass,,,From Corner
132,117.7,50.8,2023-04-22 00:05:26.578,0.014517879000000001,Blocked,Chloe Kelly,Manchester City WFC,Right Foot,Half Volley,True,Open Play,,,,From Corner
133,113.3,38.8,2023-04-22 00:06:05.223,0.18173918,Blocked,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Half Volley,True,Open Play,Ground Pass,,,From Corner
134,99.0,51.8,2023-04-22 00:13:17.377,0.057698682,Post,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
135,104.4,45.3,2023-04-22 00:18:50.330,0.16519493,Blocked,Chloe Kelly,Manchester City WFC,Left Foot,Normal,True,Open Play,Ground Pass,,,From Corner
136,119.3,47.3,2023-04-22 00:22:26.598,0.017881703000000002,Off T,Sophie Howard,Leicester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
137,113.5,39.5,2023-04-22 00:23:08.386,0.16286779999999998,Goal,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
138,106.7,23.7,2023-04-22 00:35:29.432,0.037897546000000004,Blocked,Lauren Hemp,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
139,116.9,49.2,2023-04-22 00:35:38.854,0.13676266,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Half Volley,False,Open Play,,,,From Corner
140,107.5,40.2,2023-04-22 00:37:55.485,0.0736984,Blocked,Aileen Whelan,Leicester City WFC,Left Foot,Half Volley,False,Open Play,,,,From Corner
141,107.2,51.3,2023-04-22 00:39:18.579,0.061599657,Post,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Normal,False,Open Play,,,,From Corner
142,95.3,29.0,2023-04-22 00:44:25.472,0.031143818000000004,Blocked,Laura Coombs,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
